ExperimentName	subjID	SessionDate	accept	offer	accept	Wait2.RT	targettext	trail
part1_UG_gain_f_red_1	26	01-07-2020	0	3.0	0	3766.0	3.0	27
part1_UG_gain_f_red_1	26	01-07-2020	1	4.0	1	1074.0	3.0	28
part1_UG_gain_f_red_1	26	01-07-2020	0	1.0	0	978.0	5.0	29
part1_UG_gain_f_red_1	26	01-07-2020	1	5.0	1	853.0	5.0	30
part1_UG_gain_f_red_1	26	01-07-2020	1	4.0	1	2255.0	3.0	31
part1_UG_gain_f_red_1	26	01-07-2020	0	1.0	0	1118.0	4.0	32
part1_UG_gain_f_red_1	26	01-07-2020	0	3.0	0	1816.0	3.0	33
part1_UG_gain_f_red_1	26	01-07-2020	0	2.0	0	1253.0	4.0	34
part1_UG_gain_f_red_1	26	01-07-2020	1	5.0	1	814.0	5.0	35
part1_UG_gain_f_red_1	26	01-07-2020	1	5.0	1	704.0	5.0	36
part1_UG_gain_f_red_1	26	01-07-2020	0	1.0	0	988.0	4.0	37
part1_UG_gain_f_red_1	26	01-07-2020	1	4.0	1	4717.0	3.0	38
part1_UG_gain_f_red_1	26	01-07-2020	0	2.0	0	899.0	4.0	39
part1_UG_gain_f_red_1	26	01-07-2020	0	3.0	0	1436.0	4.0	40
part1_UG_gain_f_red_1	30	10-31-2020	1	4.0	1	5569.0	2.0	1
part1_UG_gain_f_red_1	30	10-31-2020	0	3.0	0	9540.0	1.0	2
part1_UG_gain_f_red_1	30	10-31-2020	1	5.0	1	1065.0	3.0	3
part1_UG_gain_f_red_1	30	10-31-2020	0	1.0	0	3401.0	5.0	4
part1_UG_gain_f_red_1	30	10-31-2020	0	2.0	0	2751.0	4.0	5
